2017-06-18 02:27:01,165, [MainProcess], airflow, INFO, first info message
2017-06-18 02:27:01,166, [MainProcess], airflow, INFO, first info message
2017-06-18 02:27:01,166, [MainProcess], airflow, INFO, first info message
2017-06-18 02:27:01,166, [MainProcess], airflow, DEBUG, first debug message
2017-06-18 02:37:04,143, [MainProcess], airflow, INFO, first info message
2017-06-18 02:37:04,144, [MainProcess], airflow, INFO, first info message
2017-06-18 02:37:04,144, [MainProcess], airflow, INFO, first info message
2017-06-18 02:37:04,144, [MainProcess], airflow, DEBUG, first debug message
2017-06-18 02:59:36,822, [MainProcess], airflow, INFO, first info message
2017-06-18 02:59:36,822, [MainProcess], airflow, INFO, first info message
2017-06-18 02:59:36,822, [MainProcess], airflow, INFO, first info message
2017-06-18 02:59:36,822, [MainProcess], airflow, DEBUG, first debug message
2017-06-18 02:59:54,161, [MainProcess], airflow, INFO, first info message
2017-06-18 02:59:54,161, [MainProcess], airflow, INFO, first info message
2017-06-18 02:59:54,161, [MainProcess], airflow, INFO, first info message
2017-06-18 02:59:54,161, [MainProcess], airflow, DEBUG, first debug message
2017-06-18 03:16:08,147, [MainProcess], airflow, INFO, first info message
2017-06-18 03:16:08,147, [MainProcess], airflow, INFO, first info message
2017-06-18 03:16:08,147, [MainProcess], airflow, INFO, first info message
2017-06-18 03:16:08,148, [MainProcess], airflow, DEBUG, first debug message
2017-06-18 03:17:17,198, [MainProcess], airflow, INFO, first info message
2017-06-18 03:17:17,199, [MainProcess], airflow, INFO, first info message
2017-06-18 03:17:17,199, [MainProcess], airflow, INFO, first info message
2017-06-18 03:17:17,199, [MainProcess], airflow, DEBUG, first debug message
2017-06-18 03:17:35,656, [MainProcess], airflow, INFO, first info message
2017-06-18 03:17:35,656, [MainProcess], airflow, INFO, first info message
2017-06-18 03:17:35,656, [MainProcess], airflow, INFO, first info message
2017-06-18 03:17:35,656, [MainProcess], airflow, DEBUG, first debug message
